Area (sqft),Location,Bedrooms,Property_Type,Floor_No,Parking_Availability,Property_Age (Years),Society_Features,Price (Crore)
1000,Dadar,3,Rowhouse,15,Both,22,None,1.92
1500,Andheri,1,Bungalow,10,Both,15,Gym,2.51
1800,Borivali,4,Duplex,5,Bike,1,Gym+Playground,2.15
800,Dadar,1,Bungalow,14,Bike,16,Gym+Playground,1.54
750,Thane,4,Duplex,3,Car,20,None,0.79
1800,Mulund,1,Duplex,13,Bike,12,CCTV,2.27
900,Mulund,4,Rowhouse,8,Both,25,Gym+CCTV,1.2
900,Vashi,2,Apartment,9,Both,7,Gym,1.26
1800,Thane,5,Bungalow,20,Bike,17,CCTV,1.78
1000,Andheri,4,Rowhouse,1,None,16,Gym+Playground,1.66
500,Mulund,2,Rowhouse,18,None,24,CCTV+Playground,0.66
1200,Borivali,3,Duplex,17,Bike,10,Gym+CCTV,1.43
600,Andheri,4,Bungalow,9,Bike,5,Gym,1.0
1000,Mulund,2,Rowhouse,13,Bike,23,All,1.28
500,Borivali,5,Rowhouse,17,Both,25,Gym+CCTV,0.6
750,Borivali,4,Apartment,15,Both,10,Gym+Playground,0.92
500,Vashi,4,Bungalow,9,Both,0,None,0.69
750,Vashi,3,Duplex,16,None,9,All,1.05
500,Andheri,2,Duplex,3,Both,23,All,0.84
1100,Borivali,2,Apartment,3,Both,14,Playground,1.31
1100,Dadar,5,Rowhouse,3,Car,24,None,2.05
1000,Thane,4,Duplex,9,Both,15,None,0.96
1800,Mulund,5,Bungalow,18,None,26,CCTV+Playground,2.35
1000,Andheri,2,Apartment,6,Both,7,Gym,1.73
600,Dadar,1,Rowhouse,18,Car,19,Playground,1.11
400,Dadar,1,Duplex,3,Bike,28,CCTV+Playground,0.76
500,Mulund,1,Apartment,4,Both,8,CCTV,0.63
750,Borivali,4,Duplex,5,Car,23,CCTV+Playground,0.89
800,Thane,2,Apartment,19,None,30,Playground,0.81
1100,Borivali,4,Duplex,10,None,13,All,1.34
1300,Mulund,2,Bungalow,13,Both,14,CCTV+Playground,1.66
1100,Mulund,4,Apartment,8,None,15,All,1.44
1100,Borivali,5,Rowhouse,3,Car,13,CCTV,1.37
1000,Borivali,2,Apartment,19,None,25,Gym,1.21
500,Andheri,3,Apartment,7,Both,2,Gym+Playground,0.86
1500,Dadar,1,Apartment,5,Bike,6,Gym+CCTV,2.84
1100,Dadar,3,Bungalow,9,Bike,4,Gym+Playground,2.05
800,Mulund,3,Duplex,16,Bike,1,Playground,1.0
750,Borivali,1,Bungalow,12,Car,14,None,0.87
500,Borivali,4,Rowhouse,2,Car,6,Gym,0.62
800,Andheri,2,Bungalow,15,Car,28,Gym,1.39
1200,Vashi,4,Rowhouse,13,Both,0,Gym,1.72
600,Vashi,1,Apartment,14,Car,12,Gym+CCTV,0.85
1100,Borivali,1,Bungalow,7,Both,27,None,1.36
1000,Vashi,2,Duplex,1,Car,0,None,1.44
600,Mulund,4,Rowhouse,12,Bike,13,All,0.8
1200,Vashi,2,Apartment,5,Car,7,All,1.64
800,Borivali,2,Apartment,13,Car,20,CCTV,1.0
1800,Mulund,1,Rowhouse,16,Car,1,None,2.38
1800,Andheri,5,Bungalow,18,Both,4,All,3.09
1100,Dadar,3,Duplex,5,None,4,Gym+CCTV,2.12
800,Vashi,5,Rowhouse,4,Both,11,Gym,1.13
500,Thane,4,Duplex,9,Car,0,Playground,0.51
900,Mulund,5,Rowhouse,6,Car,2,Gym+Playground,1.15
800,Mulund,2,Apartment,19,Car,28,Gym,1.02
1800,Andheri,2,Bungalow,3,Bike,17,Gym,3.13
1500,Dadar,4,Apartment,2,Both,12,CCTV+Playground,2.85
900,Thane,4,Apartment,10,Bike,0,Gym,0.93
1800,Borivali,1,Bungalow,20,None,9,Gym+CCTV,2.2
400,Thane,3,Apartment,19,Both,19,Gym,0.41
1800,Mulund,4,Apartment,20,None,6,None,2.3
1100,Dadar,1,Apartment,3,Car,16,Gym+CCTV,2.14
1300,Dadar,2,Apartment,2,None,30,CCTV,2.49
1100,Dadar,4,Apartment,5,Bike,14,CCTV+Playground,2.12
1200,Thane,4,Rowhouse,8,Bike,6,Gym,1.25
500,Mulund,2,Duplex,8,None,13,CCTV+Playground,0.67
800,Mulund,5,Bungalow,19,None,28,CCTV+Playground,1.06
750,Mulund,1,Bungalow,16,Bike,14,Gym+Playground,0.99
900,Andheri,2,Apartment,9,Car,21,Playground,1.56
800,Thane,3,Bungalow,9,Car,18,None,0.77
1800,Vashi,1,Duplex,10,Both,6,Gym,2.49
1800,Dadar,3,Apartment,13,Both,5,CCTV+Playground,3.49
750,Andheri,1,Apartment,2,Bike,20,All,1.27
750,Andheri,2,Bungalow,1,Bike,0,All,1.29
1800,Thane,4,Rowhouse,14,None,16,None,1.82
1000,Thane,5,Rowhouse,12,Car,28,Gym+Playground,0.97
1500,Vashi,1,Duplex,19,None,29,Gym+CCTV,2.13
800,Thane,1,Bungalow,6,Both,29,CCTV,0.77
1200,Dadar,3,Duplex,15,Bike,24,CCTV,2.3
900,Thane,4,Duplex,8,None,10,Gym+CCTV,0.9
800,Borivali,4,Bungalow,10,Bike,28,CCTV,0.97
900,Vashi,5,Rowhouse,6,Bike,28,Playground,1.25
1100,Borivali,2,Bungalow,19,None,16,Gym,1.37
600,Vashi,3,Rowhouse,10,Both,7,Gym+Playground,0.87
400,Mulund,4,Rowhouse,19,Bike,9,Gym+CCTV,0.54
1200,Mulund,4,Apartment,6,None,0,All,1.52
800,Borivali,4,Duplex,6,Car,0,Gym+Playground,0.97
1300,Borivali,3,Duplex,0,Both,21,Playground,1.57
1200,Andheri,3,Apartment,15,None,8,All,2.03
1300,Thane,5,Bungalow,12,Both,26,CCTV+Playground,1.34
1800,Vashi,2,Duplex,3,None,29,CCTV+Playground,2.5
500,Mulund,2,Apartment,2,Car,0,CCTV,0.64
1000,Thane,1,Duplex,10,None,28,CCTV+Playground,1.0
500,Mulund,4,Apartment,19,Bike,13,Playground,0.65
1000,Andheri,5,Rowhouse,18,Bike,10,Gym,1.72
1100,Vashi,5,Apartment,4,Bike,23,All,1.55
500,Mulund,5,Apartment,6,Bike,12,Gym+CCTV,0.63
1200,Mulund,5,Bungalow,2,Car,8,All,1.6
600,Thane,3,Apartment,3,Bike,2,Gym+CCTV,0.6
900,Thane,2,Rowhouse,10,Bike,1,All,0.94
